PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ
200,0.39,0.49,1.59,-332.426,-120.758,1.3,-332.427,-121.145,1.3
100,0.47,0.6,1.85,-329.785,-110.396,0.133,-329.89,-110.853,0.133
200,0.41,0.5,1.63,-332.859,-127.582,2.5,-332.86,-127.991,2.5
100,0.45,0.55,1.86,-330.68,-110.556,0.2,-330.794,-110.987,0.2
100,0.41,0.65,1.78,-332.865,-128.778,2.6,-332.872,-129.184,2.6
100,0.44,0.6,1.68,-332.811,-129.826,2.9,-332.754,-130.262,2.9
200,0.39,0.5,1.65,-330.032,-142.95,5.933,-329.856,-143.296,5.933
100,0.4,0.64,1.61,-329.668,-143.895,6,-329.405,-144.192,6
100,0.4,0.65,1.68,-326.952,-146.712,6,-326.673,-147,6
100,0.43,0.57,1.86,-326.214,-147.666,6,-325.908,-147.965,6
200,0.32,0.44,1.61,-332.541,-161.282,6,-332.833,-161.406,6
100,0.42,0.63,1.94,-329.001,-144.059,6,-328.654,-144.302,6
100,0.43,0.61,1.65,-333.356,-161.479,6,-333.729,-161.691,6
200,0.35,0.44,1.55,-333.795,-162.182,6,-334.135,-162.261,6
100,0.43,0.59,1.77,-334.595,-161.942,6,-334.954,-162.186,6
200,0.41,0.5,1.69,-345.778,-165.97,6,-346.109,-166.215,6
200,0.38,0.51,1.57,-346.369,-166.655,6,-346.708,-166.83,6
100,0.42,0.59,1.84,-347.609,-166.961,6,-348.032,-166.987,6
100,0.45,0.62,1.95,-353.288,-166.547,6,-353.741,-166.537,6
100,0.43,0.59,1.61,-354.164,-166.526,6,-354.583,-166.64,6
200,0.34,0.45,1.56,-366.045,-170.471,6,-366.384,-170.429,6
100,0.42,0.58,1.59,-366.471,-170.952,6,-366.887,-170.968,6
200,0.3,0.45,1.56,-372.685,-172.791,6,-372.962,-172.677,6
200,0.33,0.47,1.69,-374.084,-172.14,6,-374.365,-171.968,6
100,0.41,0.65,1.64,-374.635,-171.564,6,-374.952,-171.305,6
200,0.35,0.44,1.67,-378.867,-168.95,6,-379.191,-168.828,6
100,0.47,0.57,1.9,-380.011,-168.101,6,-380.44,-167.909,6
