$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-368.686,-171.502,6,-368.966,-171.71,6,1,0.803 0.596,20
1,200,0.35,0.49,1.6,-368.235,-171.178,6,-368.52,-171.38,6,1,0.817 0.577,20.5
1,200,0.35,0.49,1.6,-367.765,-170.883,6,-368.064,-171.064,6,1,0.856 0.517,21
1,200,0.35,0.49,1.6,-367.263,-170.65,6,-367.585,-170.788,6,1,0.918 0.395,21.5
1,200,0.35,0.49,1.6,-366.725,-170.539,6,-367.07,-170.595,6,1,0.987 0.159,22
1,200,0.35,0.49,1.6,-366.177,-170.559,6,-366.527,-170.541,6,1,0.999 -0.053,22.5
1,200,0.35,0.49,1.6,-365.637,-170.663,6,-365.979,-170.589,6,1,0.978 -0.210,23
1,200,0.35,0.49,1.6,-364.558,-170.904,6,-364.903,-170.842,6,1,0.984 -0.178,24
1,200,0.35,0.49,1.6,-363.454,-170.94,6,-363.803,-170.957,6,1,0.999 0.051,25
1,200,0.35,0.49,1.6,-362.378,-170.689,6,-362.715,-170.78,6,1,0.965 0.261,26
1,200,0.35,0.49,1.6,-360.177,-170.479,6,-360.527,-170.493,6,1,0.999 0.042,28
1,200,0.35,0.49,1.6,-358.129,-169.712,6,-358.415,-169.913,6,1,0.818 0.575,30
1,200,0.35,0.49,1.6,-356.427,-168.041,6,-356.672,-168.291,6,1,0.700 0.714,32.1
1,200,0.35,0.49,1.6,-354.72,-166.704,6,-355.04,-166.843,6,1,0.917 0.398,34
1,200,0.35,0.49,1.6,-352.441,-166.618,6,-352.789,-166.58,6,1,0.994 -0.108,36
1,200,0.35,0.49,1.6,-352.441,-166.618,6,-352.789,-166.58,6,1,0.994 -0.108,36
1,200,0.35,0.49,1.6,-347.852,-166.979,6,-348.201,-167.002,6,1,0.998 0.065,40
1,200,0.35,0.49,1.6,-345.761,-166.056,6,-346.042,-166.265,6,1,0.802 0.597,42
1,200,0.35,0.49,1.6,-343.898,-164.706,6,-344.212,-164.86,6,1,0.898 0.440,44
1,200,0.35,0.49,1.6,-341.646,-164.262,6,-341.993,-164.301,6,1,0.994 0.112,46
1,200,0.35,0.49,1.6,-337.076,-163.74,6,-337.414,-163.829,6,1,0.967 0.256,50
1,200,0.35,0.49,1.6,-332.011,-161.018,6,-332.331,-161.159,6,1,0.915 0.404,55
1,200,0.35,0.49,1.6,-327.022,-158.61,6,-327.341,-158.754,6,1,0.911 0.411,60
1,200,0.35,0.49,1.6,-321.102,-152.821,6,-320.906,-153.111,6,1,-0.561 0.828,70
1,200,0.35,0.49,1.6,-328.973,-144.913,6,-328.728,-145.163,6,1,-0.699 0.715,80
1,200,0.35,0.49,1.6,-332.598,-135.397,4,-332.552,-135.744,4,1,-0.133 0.991,90.2
