$PEDESTRIAN:NO,PEDTYPE,LENGTH,WIDTH,HEIGHT,COORDFRONTX,COORDFRONTY,COORDFRONTZ,COORDREARX,COORDREARY,COORDREARZ,PEDROUTSTA\PEDROUTDECSTA,ORIENTATION,SIMSEC
1,200,0.35,0.49,1.6,-364.558,-170.904,6,-364.903,-170.842,6,1,0.984 -0.178,24
2,100,0.47,0.55,1.8,-366.695,-170.21,6,-367.105,-170.444,6,1,0.868 0.497,24
3,100,0.47,0.57,1.78,-367.077,-170.924,6,-367.526,-171.075,6,1,0.948 0.319,24
4,100,0.46,0.59,1.69,-368.017,-170.985,6,-368.383,-171.263,6,1,0.796 0.605,24
5,200,0.3,0.46,1.59,-372.441,-172.885,6,-372.733,-172.807,6,1,0.967 -0.256,24
6,100,0.44,0.58,1.84,-373.402,-172.457,6,-373.787,-172.246,6,1,0.878 -0.479,24
7,200,0.4,0.47,1.66,-375.866,-171.214,6,-376.234,-171.054,6,1,0.917 -0.400,24
8,200,0.32,0.46,1.59,-376.449,-169.986,6,-376.696,-169.776,6,1,0.762 -0.648,24
9,100,0.4,0.64,1.8,-374.392,-171.889,6,-374.671,-171.602,6,1,0.697 -0.717,24
10,100,0.45,0.59,1.77,-377.011,-170.632,6,-377.354,-170.346,6,1,0.768 -0.640,24
11,100,0.45,0.6,1.89,-377.93,-169.251,6,-378.29,-168.989,6,1,0.808 -0.589,24
12,100,0.44,0.6,1.83,-379.937,-168.354,6,-380.373,-168.269,6,1,0.981 -0.192,24
